Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Bulk,,,,31-07-2024 20:08:01,31-07-2024 20:08:02,1.036s,PASSED
,,,,,,,
Test Cases/Get User 13,,,,31-07-2024 20:08:01,31-07-2024 20:08:02,0.760s,PASSED
"sendRequest(findTestObject(""API/REST/Get User""))",,,,31-07-2024 20:08:01,31-07-2024 20:08:02,0.650s,PASSED
,,,,,,,
Test Cases/Access User 7,,,,31-07-2024 20:08:02,31-07-2024 20:08:02,0.213s,PASSED
"sendRequest(findTestObject(""API/REST/Access User""))",,,,31-07-2024 20:08:02,31-07-2024 20:08:02,0.180s,PASSED
