Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Get User Data,,,,31-07-2024 20:07:59,31-07-2024 20:08:00,0.913s,PASSED
,,,,,,,
Test Cases/Query User 20,,,,31-07-2024 20:07:59,31-07-2024 20:08:00,0.780s,PASSED
"sendRequest(findTestObject(""API/REST/Query User""))",,,,31-07-2024 20:07:59,31-07-2024 20:08:00,0.679s,PASSED
,,,,,,,
Test Cases/Load User 16,,,,31-07-2024 20:08:00,31-07-2024 20:08:00,0.063s,PASSED
"sendRequest(findTestObject(""API/REST/Load User""))",,,,31-07-2024 20:08:00,31-07-2024 20:08:00,0.043s,PASSED
